ID,Latitude,Longitude
5086,-4.46044192,29.8113964
1258,-6.17643812,39.24487062
331,-6.82570215,37.65279782
6729,-3.37204916,35.8083073
8671,-7.17964514,31.03909501
5462,-6.36233065,37.13774142
4886,-8.08925722,35.83641476
621,-8.91602782,33.43390406
8302,-3.97224706,32.64995093
4704,-8.03397315,35.76941599
2758,-3.61949115,33.81397392
2536,-8.8474963,34.82358667
8863,-10.74350336,34.73308437
5469,-8.29591748,31.50903394
3543,-6.16905276,39.19848943
6554,-1.33874499,30.90011959
7769,-10.48837106,39.02761703
4226,-3.18034209,36.86123796
6997,-1.26182551,30.67859149
987,-7.7826408,35.66559916
5576,-4.61491779,29.78760859
2272,-2.59741921,32.91360135
8277,-10.91885915,38.0026558
3007,-8.87183105,34.95540407
915,-5.07269918,38.45452481
1335,-7.77454325,35.69337587
1251,-6.21997069,39.23239912
5036,-1.3240641,31.79062686
599,-3.35223512,37.34738616
794,-6.81906576,37.64553234
3158,-4.29046851,35.85896743
3959,-2.76226635,33.61667942
1241,-8.89881746,33.54752
4986,-3.83143513,32.68175493
4109,-8.56809005,32.12579976
8121,-11.46744994,36.97928803
3895,-4.09021965,34.73737265
8054,-10.5117961,38.99460256
8023,-5.03547203,36.23767486
6933,-2.40257714,32.32959157
7852,-3.8083338,32.2274935
6063,-8.53949832,32.94378634
755,-4.8332572,34.76190104
6445,-5.71743656,38.23601851
8548,-8.60398999,39.26018757
1549,-2.54540703,32.95831634
6617,-3.87132116,35.65140707
8467,-8.56409232,35.33905815
4116,-4.22585093,34.61299078
8125,-8.95365989,32.56461543
1044,-3.99684717,33.37908427
2535,-2.61146616,32.07196443
8950,-8.97814972,36.76014005
6099,-2.34096694,32.29512438
5607,-3.4327519,31.51375467
8734,-8.12810763,30.96696583
4734,-6.2650312,36.86940735
7776,-10.48861938,39.02782579
9367,-4.02596301,34.50822471
3423,-8.57148856,33.44991499
2878,-2.50670896,32.0118141
2356,-3.363681,36.72002605
229,-6.96839746,39.08681603
3406,-6.37275189,38.35172048
771,-3.25233472,30.9082292
580,-10.66296868,35.65686511
6163,-2.8528492,32.88685392
6212,-10.46735817,36.13244508
8574,-6.87575725,39.2326073
8278,-6.88329466,39.25354774
3919,-3.821738,33.30840363
8883,-11.263398,34.79128086
5677,-7.85425891,31.1757775
9209,-4.26860253,38.05357002
7050,-11.40079283,36.42848862
1531,-6.14814684,39.2228004
7922,-8.79798017,34.99025617
4397,-6.29072293,35.88227777
3170,-4.57358799,33.03776076
6376,-5.24594851,39.78153458
5472,-3.20246304,37.20556708
9138,-10.75077606,38.53076548
6020,-6.57002874,35.51702142
